,Title,Awards,Award_wins,Award_nominated,oscar_nominated,Oscar_Won,Golden_Globe_nominated,Golden_Globe_Won,Primetime_Emmy_nominated,Primetime_Emmys_Won,BAFTA_Film_nominated,BAFTA_Film_won
135,Crime and Punishment,3 wins & 1 nomination.,3,0,0,0,0,0,0,0,0,0
136,The Freshmen,nan,0,0,0,0,0,0,0,0,0,0
137,ECW Guilty as Charged 2001,nan,0,0,0,0,0,0,0,0,0,0
138,2030 CE,1 win & 1 nomination.,1,0,0,0,0,0,0,0,0,0
139,Ace Lightning,1 nomination.,0,0,0,0,0,0,0,0,0,0
140,Artóza,nan,0,0,0,0,0,0,0,0,0,0
141,10 minuten,nan,0,0,0,0,0,0,0,0,0,0
142,4 op 4,nan,0,0,0,0,0,0,0,0,0,0
143,72 heures,nan,0,0,0,0,0,0,0,0,0,0
144,Australian Survivor,nan,0,0,0,0,0,0,0,0,0,0
145,After Midnight,nan,0,0,0,0,0,0,0,0,0,0
146,Chechen Lullaby,2 wins.,2,0,0,0,0,0,0,0,0,0
147,Aix mélodie,nan,0,0,0,0,0,0,0,0,0,0
148,All I Want for Christmas,nan,0,0,0,0,0,0,0,0,0,0
149,Be My Valentine,nan,0,0,0,0,0,0,0,0,0,0
150,30 by 30: Kid Flicks,1 nomination.,0,0,0,0,0,0,0,0,0,0
151,As If,nan,0,0,0,0,0,0,0,0,0,0
152,The Bachelor,9 wins & 8 nominations.,9,8,0,0,0,0,0,0,0,0
153,The Enemy Within,nan,0,0,0,0,0,0,0,0,0,0
154,Chances,nan,0,0,0,0,0,0,0,0,0,0
155,Zero Tolerance,nan,0,0,0,0,0,0,0,0,0,0
156,24Seven,nan,0,0,0,0,0,0,0,0,0,0
157,AFP: American Fighter Pilot,nan,0,0,0,0,0,0,0,0,0,0
158,Achla Seret,nan,0,0,0,0,0,0,0,0,0,0
159,Ahava BeCvalim,nan,0,0,0,0,0,0,0,0,0,0
160,Akros oikogeneiakon,nan,0,0,0,0,0,0,0,0,0,0
161,Alicia!,nan,0,0,0,0,0,0,0,0,0,0
162,A Very British Murder,1 win.,1,0,0,0,0,0,0,0,0,0
163,Killing Babies,nan,0,0,0,0,0,0,0,0,0,0
164,The Show Must Go On,1 win.,1,0,0,0,0,0,0,0,0,0
165,Auge um Auge,nan,0,0,0,0,0,0,0,0,0,0
166,Broken Wings,15 wins & 4 nominations.,0,0,0,0,0,0,0,0,0,0
167,Salvation,1 win.,1,0,0,0,0,0,0,0,0,0
168,Air Cops,nan,0,0,0,0,0,0,0,0,0,0
169,High Speed Pursuit: Justice on the Road,nan,0,0,0,0,0,0,0,0,0,0
170,The Bubble,nan,0,0,0,0,0,0,0,0,0,0
171,2020; History of the Future,nan,0,0,0,0,0,0,0,0,0,0
172,Al desnudo,nan,0,0,0,0,0,0,0,0,0,0
173,At Home with... Fann Wong,nan,0,0,0,0,0,0,0,0,0,0
174,Identity Lost,nan,0,0,0,0,0,0,0,0,0,0
175,Mr. Hollywood Star,nan,0,0,0,0,0,0,0,0,0,0
176,20tantos,nan,0,0,0,0,0,0,0,0,0,0
177,Absolut das Leben,nan,0,0,0,0,0,0,0,0,0,0
178,Alle tiders underholdning,nan,0,0,0,0,0,0,0,0,0,0
179,Anak metropolitan,nan,0,0,0,0,0,0,0,0,0,0
180,Angelina Ballerina,1 win & 1 nomination.,1,0,0,0,0,0,0,0,0,0
181,Any Time Now,3 wins & 6 nominations.,3,6,0,0,0,0,0,0,0,0
182,Baby Style,nan,0,0,0,0,0,0,0,0,0,0
183,AFL Sunday,nan,0,0,0,0,0,0,0,0,0,0
184,The Adventures of Jimmy Neutron: Boy Genius,8 wins & 8 nominations.,8,8,0,0,0,0,0,0,0,0
185,After Hours,2 nominations.,0,2,0,0,0,0,0,0,0,0
186,Aoi Misaki wa yoru mieru,nan,0,0,0,0,0,0,0,0,0,0
187,Terminal Invasion,nan,0,0,0,0,0,0,0,0,0,0
188,Andy Warhol: The Complete Picture,nan,0,0,0,0,0,0,0,0,0,0
189,5th Gear,nan,0,0,0,0,0,0,0,0,0,0
190,Adventure Inc.,1 nomination.,0,0,0,0,0,0,0,0,0,0
191,Anja,1 win.,1,0,0,0,0,0,0,0,0,0
192,5 Guys; 5 Questions...,nan,0,0,0,0,0,0,0,0,0,0
193,Agio eihame,nan,0,0,0,0,0,0,0,0,0,0
194,Aliki,nan,0,0,0,0,0,0,0,0,0,0
195,Coming Clean,nan,0,0,0,0,0,0,0,0,0,0
196,Time Crisis II,nan,0,0,0,0,0,0,0,0,0,0
197,After Upstairs Downstairs,nan,0,0,0,0,0,0,0,0,0,0
198,Fame; Fashion and Photography: The Real Blow Up,nan,0,0,0,0,0,0,0,0,0,0
199,30 Seconds to Fame,nan,0,0,0,0,0,0,0,0,0,0
200,A medias,nan,0,0,0,0,0,0,0,0,0,0
201,A Conversation with Roy Romer,nan,0,0,0,0,0,0,0,0,0,0
202,A-ha: Live at Vallhall - Homecoming,nan,0,0,0,0,0,0,0,0,0,0
203,Hostage,nan,0,0,0,0,0,0,0,0,0,0
204,Loaded Gun: Life and Death and Dickinson,nan,0,0,0,0,0,0,0,0,0,0
205,Adoption,nan,0,0,0,0,0,0,0,0,0,0
206,Alive,nan,0,0,0,0,0,0,0,0,0,0
207,aHA!,nan,0,0,0,0,0,0,0,0,0,0
208,Aliens Among Us,nan,0,0,0,0,0,0,0,0,0,0
209,Thicker Than Water,nan,0,0,0,0,0,0,0,0,0,0
210,Action Justice,nan,0,0,0,0,0,0,0,0,0,0
211,The Birthday,1 nomination.,0,0,0,0,0,0,0,0,0,0
212,9 Dead Gay Guys,2 wins.,2,0,0,0,0,0,0,0,0,0
213,30 Minute Meals,1 win & 3 nominations.,1,3,0,0,0,0,0,0,0,0
214,Miss America Pageant,nan,0,0,0,0,0,0,0,0,0,0
215,Santa vs. the Snowman 3D,1 win.,1,0,0,0,0,0,0,0,0,0
216,Plan B,nan,0,0,0,0,0,0,0,0,0,0
